ParentKey	LineNum	BatchNumber	ManufacturerSerialNumber	InternalSerialNumber	ExpiryDate	ManufacturingDate	AddmisionDate	Location	Notes	Quantity	BaseLineNumber	TrackingNote	TrackingNoteLine	ItemCode	SystemSerialNumber
DocNum	LineNum	DistNumber	MnfSerial	LotNumber	ExpDate	MnfDate	InDate	Location	Notes	Quantity	DocLineNum	TrackingNt	TrackiNtLn	ItemCode	SysNumber
1		SAP-SH1			20211031	20201031	20201031		11N65 CLD	75	0				
1		SAP-SH1			20211031	20201031	20201031		11N80 CLD	24	1				
1		SAP-SH1			20211031	20201031	20201031		20N80 CLD	148	2				
1		SAP-SH1			20211031	20201031	20201031		24C04 CLD	812	3				
1		SAP-SH1			20211031	20201031	20201031		24C08A CLD	198	4				
1		SAP-SH1			20211031	20201031	20201031		24C16 CLD	392	5				
1		SAP-SH1			20211031	20201031	20201031		2L CLD	132	6				
1		SAP-SH1			20211031	20201031	20201031		2N2222 CLD	4829	7				
1		SAP-SH1			20211031	20201031	20201031		2N3055 ST CLD	301	8				
1		SAP-SH1			20211031	20201031	20201031		2N3904 CLD	6787	9				
1		SAP-SH1			20211031	20201031	20201031		2N5401 CLD	400	10				
1		SAP-SH1			20211031	20201031	20201031		2N5551 CLD	83	11				
1		SAP-SH1			20211031	20201031	20201031		2SA1020 CLD	382	12				
1		SAP-SH1			20211031	20201031	20201031		2SA1270 CLD	206	13				
1		SAP-SH1			20211031	20201031	20201031		2SA1294 CLD	132	14				
1		SAP-SH1			20211031	20201031	20201031		2SA1941 CLD	40	15				
1		SAP-SH1			20211031	20201031	20201031		2SA1943 CLD	935	16				
1		SAP-SH1			20211031	20201031	20201031		2SA2222 CLD	2	17				
1		SAP-SH1			20211031	20201031	20201031		2SA715 CLD	29	18				
1		SAP-SH1			20211031	20201031	20201031		2SA733 CLD	353	19				
1		SAP-SH1			20211031	20201031	20201031		2SA965 CLD	130	20				
1		SAP-SH1			20211031	20201031	20201031		2SB1015 CLD	20	21				
1		SAP-SH1			20211031	20201031	20201031		2SB1588 CLD	30	22				
1		SAP-SH1			20211031	20201031	20201031		2SB1686 CLD	163	23				
1		SAP-SH1			20211031	20201031	20201031		2SB688 CLD	7	24				
1		SAP-SH1			20211031	20201031	20201031		2SB817C CLD	44	25				
1		SAP-SH1			20211031	20201031	20201031		2SB834 CLD	119	26				
1		SAP-SH1			20211031	20201031	20201031		2SC1384 CLD	229	27				
1		SAP-SH1			20211031	20201031	20201031		2SC2073 CLD	10	28				
1		SAP-SH1			20211031	20201031	20201031		2SC2330 CLD	268	29				
1		SAP-SH1			20211031	20201031	20201031		2SC2482 CLD	161	30				
1		SAP-SH1			20211031	20201031	20201031		2SC2688 CLD	23	31				
1		SAP-SH1			20211031	20201031	20201031		2SC3207 CLD	217	32				
1		SAP-SH1			20211031	20201031	20201031		2SC3263 CLD	73	33				
1		SAP-SH1			20211031	20201031	20201031		2SC4056 CLD	108	34				
1		SAP-SH1			20211031	20201031	20201031		2SC4237 CLD	17	35				
1		SAP-SH1			20211031	20201031	20201031		2SC4460M CLD	29	36				
1		SAP-SH1			20211031	20201031	20201031		2SC4636 CLD	119	37				
1		SAP-SH1			20211031	20201031	20201031		2SC4793 CLD	6	38				
1		SAP-SH1			20211031	20201031	20201031		2SC4834P CLD	74	39				
1		SAP-SH1			20211031	20201031	20201031		2SC4927 CLD	29	40				
1		SAP-SH1			20211031	20201031	20201031		2SC5171	32	41				
1		SAP-SH1			20211031	20201031	20201031		2SC5198 CLD	36	42				
1		SAP-SH1			20211031	20201031	20201031		2SC5200 CLD	901	43				
1		SAP-SH1			20211031	20201031	20201031		2SC5271 CLD	4	44				
1		SAP-SH1			20211031	20201031	20201031		2SC5287 CLD	109	45				
1		SAP-SH1			20211031	20201031	20201031		2SC5296 CLD	228	46				
1		SAP-SH1			20211031	20201031	20201031		2SC5297 CLD	30	47				
1		SAP-SH1			20211031	20201031	20201031		2SC5299 CLD	123	48				
1		SAP-SH1			20211031	20201031	20201031		2SC5386 CLD	101	49				
1		SAP-SH1			20211031	20201031	20201031		2SC5387 CLD	74	50				
1		SAP-SH1			20211031	20201031	20201031		2SC5885 CLD	40	51				
1		SAP-SH1			20211031	20201031	20201031		2SC5886 CLD	185	52				
1		SAP-SH1			20211031	20201031	20201031		2SC6090 CLD	165	53				
1		SAP-SH1			20211031	20201031	20201031		2SC6093 CLD	2	54				
1		SAP-SH1			20211031	20201031	20201031		2SC828 CLD	161	55				
1		SAP-SH1			20211031	20201031	20201031		2SC945 CLD	91	56				
1		SAP-SH1			20211031	20201031	20201031		2SD1047 CLD	5	57				
1		SAP-SH1			20211031	20201031	20201031		2SD1554 CLD	10	58				
1		SAP-SH1			20211031	20201031	20201031		2SD1555 CLD	36	59				
1		SAP-SH1			20211031	20201031	20201031		2SD1651 CLD	14	60				
1		SAP-SH1			20211031	20201031	20201031		2SD1825 CLD	77	61				
1		SAP-SH1			20211031	20201031	20201031		2SD1877 CLD	77	62				
1		SAP-SH1			20211031	20201031	20201031		2SD1878 CLD	119	63				
1		SAP-SH1			20211031	20201031	20201031		2SD1879 CLD	41	64				
1		SAP-SH1			20211031	20201031	20201031		2SD1880 CLD	88	65				
1		SAP-SH1			20211031	20201031	20201031		2SD1887 CLD	40	66				
1		SAP-SH1			20211031	20201031	20201031		2SD2499 CLD	1273	67				
1		SAP-SH1			20211031	20201031	20201031		2SD2539 CLD	179	68				
1		SAP-SH1			20211031	20201031	20201031		2SD2580 CLD	14	69				
1		SAP-SH1			20211031	20201031	20201031		2SD2624 CLD	56	70				
1		SAP-SH1			20211031	20201031	20201031		2SD2627 CLD	64	71				
1		SAP-SH1			20211031	20201031	20201031		2SD2645 CLD	48	72				
1		SAP-SH1			20211031	20201031	20201031		2SD313 CLD	21	73				
1		SAP-SH1			20211031	20201031	20201031		2SD401A CLD	9	74				
1		SAP-SH1			20211031	20201031	20201031		2SD5024 CLD	9	75				
1		SAP-SH1			20211031	20201031	20201031		2SD5036 CLD	24	76				
1		SAP-SH1			20211031	20201031	20201031		2SD5071 CLD	91	77				
1		SAP-SH1			20211031	20201031	20201031		2SD5072 CLD	55	78				
1		SAP-SH1			20211031	20201031	20201031		2SD5702 CLD	5	79				
1		SAP-SH1			20211031	20201031	20201031		2SD718 CLD	2	80				
1		SAP-SH1			20211031	20201031	20201031		2SD880 CLD	15	81				
1		SAP-SH1			20211031	20201031	20201031		2SD882 CLD	12	82				
1		SAP-SH1			20211031	20201031	20201031		2SK2640 CLD	14	83				
1		SAP-SH1			20211031	20201031	20201031		2SK2645 CLD	39	84				
1		SAP-SH1			20211031	20201031	20201031		2SK2723 CLD	456	85				
1		SAP-SH1			20211031	20201031	20201031		2SK2845 CLD	14	86				
1		SAP-SH1			20211031	20201031	20201031		2SK2876 CLD	12	87				
1		SAP-SH1			20211031	20201031	20201031		2SK2961 CLD	141	88				
